Наименование предмета,Автор,Музей,Идентификатор музея,КОПУК музея,ИНН музея,Items,Дата создания предмета (строка),Место создания,Items,Место находки,Строковое описание размеров,Описание,Количество составляющих,Изображение,Регистрационный номер Госкаталога,Дата регистрации записи.,Инвентарный номер,Номер по ГИК,Внутренний идентификатор,Собственник,Тип предмета,Вес,Единица измерения веса,Ширина,Высота,Длина,Единица измерения размера,Идентификатор эпохи создания предмета,Эпоха создания предмета,Время эпохи,Название эпохи,Интервал времени создания предмета (начало),Интервал времени создания предмета (окончание),"Точность задания времени (день, месяц, год, век, эпоха).",URL предмета на сайте музея,Ключевые слова,Краткое описание истории бытования (провенанс) предмета,Идентификатор статуса предмета,Типология,Идентификатор типологии,Типология (строковое описание).,Причина исключения,Основание для регистрации предмета,Бюджет,Часть музейного фонда,Порядок управления,Предмет в музейной системе,Музейная система
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874430,""code"":""6874430"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874430""},{""id"":6874431,""code"":""6874431"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874431""}]",9882324,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/27,10000287,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874428,""code"":""6874428"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874428""},{""id"":6874429,""code"":""6874429"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874429""}]",9882325,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/7,10000286,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874426,""code"":""6874426"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874426""},{""id"":6874427,""code"":""6874427"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874427""}]",9882326,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/1,10000285,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874424,""code"":""6874424"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874424""},{""id"":6874425,""code"":""6874425"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874425""}]",9882327,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/24,10000284,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874422,""code"":""6874422"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874422""},{""id"":6874423,""code"":""6874423"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874423""}]",9882328,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/22,10000283,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874420,""code"":""6874420"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874420""},{""id"":6874421,""code"":""6874421"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874421""}]",9882329,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/25,10000282,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874418,""code"":""6874418"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874418""},{""id"":6874419,""code"":""6874419"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874419""}]",9882330,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/14,10000281,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874416,""code"":""6874416"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874416""},{""id"":6874417,""code"":""6874417"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874417""}]",9882331,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/4,10000280,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Государственный кредитный билет Российской империи 100 рублей 1910 года.,,"Муниципальное бюджетное учреждение культуры ""Енисейский краеведческий музей им. А.И. Кытманова""",1390,111491,null,"[""бумага"",""печать""]",1910 г.,,,,26х12см,,1,"[{""id"":6874414,""code"":""6874414"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":true,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874414""},{""id"":6874415,""code"":""6874415"",""fileName"":null,""description"":null,""mimeType"":null,""imageType"":null,""objectId"":null,""crc"":null,""location"":""public"",""status"":null,""lastError"":null,""deleted"":false,""main"":false,""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/6874415""}]",9882332,2017-12-12T02:43:48.932Z,Б 8,ЕКМ КП 1036/10,10000279,,,,,,,,,,,,,1910-01-01T12:00:00.000Z,,YEAR,,,,6,предметы нумизматики,5,,,,,,,,
Подзор,,"Краевое государственное бюджетное учреждение культуры ""Историко-этнографический музей-заповедник ""Шушенское""",2678,111631,2442000025,"[""нитки х/б"",""ткань х/б""]",1960-е гг.,"РСФСР, Красноярский край, г. Красноярск",,,183х77 см,"Подзор для застилания кровати изготовлен из хлопчатобумажной ткани белого цвета, нижний край украшен кружевом, выполненным крючком из хлопчатобумажных ниток белого цвета, рисунок геометрический - ромбы, нижний край оформлен в виде зубцов.",1,"[{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/37362605""},{""url"":""http://goskatalog.ru/muzfo-imaginator/rest/images/original/37362604""}]",9882333,2017-12-12T02:44:04.918Z,ТК 1457,ШМЗ-ОФ 48057,10000308,,,,,,,,,,,,,,,YEAR,,,,6,"предметы прикладного искусства, быта и этнографии",13,,,,,,,,
